Approach,Size,Difficulty,TimeStep,NumChanges,AdaptTime,SuccessRate,AvgPathLength
onlyTrainLeafNodes,50,Hard,30,1,1.49062,0.670344,6.36205
onlyTrainLeafNodes,50,Hard,31,1,0.75736,0.667748,6.34305
onlyTrainLeafNodes,50,Hard,32,1,0.224342,0.667748,6.34208
onlyTrainLeafNodes,50,Hard,33,1,0.416075,0.667748,6.34402
onlyTrainLeafNodes,50,Hard,34,1,0.275,0.667748,6.34111
onlyTrainLeafNodes,50,Hard,35,1,0.682209,0.667748,6.34111
onlyTrainLeafNodes,50,Hard,36,1,1.13171,0.667748,6.34597
onlyTrainLeafNodes,50,Hard,37,2,1.70504,0.667099,6.33268
onlyTrainLeafNodes,50,Hard,38,1,0.686961,0.667099,6.33268
onlyTrainLeafNodes,50,Hard,39,2,2.70061,0.667099,6.33268
onlyTrainLeafNodes,50,Hard,40,1,1.3199,0.667099,6.3356
onlyTrainLeafNodes,50,Hard,41,1,0.658598,0.667099,6.3356
onlyTrainLeafNodes,50,Hard,42,1,1.04503,0.667099,6.3356
onlyTrainLeafNodes,50,Hard,43,1,1.24108,0.667099,6.3356
onlyTrainLeafNodes,50,Hard,44,1,1.05304,0.667099,6.3356
onlyTrainLeafNodes,50,Hard,45,1,0.476933,0.667099,6.33658
onlyTrainLeafNodes,50,Hard,46,1,0.474088,0.667099,6.3356
onlyTrainLeafNodes,50,Hard,47,1,1.05595,0.667099,6.3356
onlyTrainLeafNodes,50,Hard,48,1,1.95256,0.667099,6.3356
onlyTrainLeafNodes,50,Hard,49,1,1.01884,0.667099,6.3356
onlyTrainLeafNodes,50,Hard,50,1,1.08099,0.667748,6.34014
onlyTrainLeafNodes,50,Hard,51,1,0.367301,0.668397,6.34272
onlyTrainLeafNodes,50,Hard,52,1,1.18516,0.668397,6.34272
onlyTrainLeafNodes,50,Hard,53,1,1.95233,0.667099,6.32879
onlyTrainLeafNodes,50,Hard,54,1,0.278367,0.667099,6.32977
onlyTrainLeafNodes,50,Hard,55,1,0.880409,0.667099,6.32977
onlyTrainLeafNodes,50,Hard,56,1,0.568178,0.667099,6.33463
onlyTrainLeafNodes,50,Hard,57,1,0.73972,0.667099,6.33463
onlyTrainLeafNodes,50,Hard,58,1,1.47427,0.667099,6.3249
onlyTrainLeafNodes,50,Hard,59,1,0.489556,0.667099,6.32296
onlyTrainLeafNodes,50,Hard,60,1,0.630541,0.667099,6.32101
onlyTrainLeafNodes,50,Hard,61,1,0.381723,0.667099,6.32004
onlyTrainLeafNodes,50,Hard,62,1,1.01374,0.674238,6.33109
onlyTrainLeafNodes,50,Hard,63,1,0.237234,0.674886,6.33846
onlyTrainLeafNodes,50,Hard,64,1,0.311204,0.674886,6.33654
onlyTrainLeafNodes,50,Hard,65,1,0.392973,0.674886,6.30385
onlyTrainLeafNodes,50,Hard,66,1,0.420921,0.674886,6.30385
onlyTrainLeafNodes,50,Hard,67,1,0.346862,0.674886,6.30192
onlyTrainLeafNodes,50,Hard,68,1,1.29357,0.674886,6.30288
onlyTrainLeafNodes,50,Hard,69,1,1.59642,0.674886,6.30288
onlyTrainLeafNodes,50,Hard,70,1,1.3189,0.674886,6.30192
onlyTrainLeafNodes,50,Hard,71,1,0.286106,0.674886,6.30096
onlyTrainLeafNodes,50,Hard,72,1,0.379227,0.674886,6.3
onlyTrainLeafNodes,50,Hard,73,1,0.528467,0.674886,6.29808
onlyTrainLeafNodes,50,Hard,74,1,0.502762,0.674886,6.29712
onlyTrainLeafNodes,50,Hard,75,4,2.20087,0.673589,6.28805
onlyTrainLeafNodes,50,Hard,76,1,1.34334,0.673589,6.28805
onlyTrainLeafNodes,50,Hard,77,1,0.789327,0.673589,6.28805
onlyTrainLeafNodes,50,Hard,78,2,0.569198,0.673589,6.29287
onlyTrainLeafNodes,50,Hard,79,1,0.961351,0.673589,6.30058
onlyTrainLeafNodes,50,Hard,80,1,0.29789,0.673589,6.30732
onlyTrainLeafNodes,50,Hard,81,6,3.0298,0.673589,6.342
onlyTrainLeafNodes,50,Hard,82,1,0.49412,0.673589,6.34297
onlyTrainLeafNodes,50,Hard,83,1,0.973397,0.674238,6.34841
onlyTrainLeafNodes,50,Hard,84,1,0.28544,0.674238,6.34841
onlyTrainLeafNodes,50,Hard,85,1,0.256092,0.673589,6.34971
onlyTrainLeafNodes,50,Hard,86,1,0.797739,0.672291,6.38803
onlyTrainLeafNodes,50,Hard,87,1,0.223896,0.672291,6.38803
onlyTrainLeafNodes,50,Hard,88,1,0.314122,0.672291,6.38803
onlyTrainLeafNodes,50,Hard,89,2,0.85083,0.671642,6.38841
onlyTrainLeafNodes,50,Hard,90,1,0.350613,0.671642,6.39034
onlyTrainLeafNodes,50,Hard,91,1,1.23748,0.671642,6.3913
onlyTrainLeafNodes,50,Hard,92,1,1.00459,0.671642,6.39034
onlyTrainLeafNodes,50,Hard,93,1,0.183742,0.671642,6.38937
onlyTrainLeafNodes,50,Hard,94,1,0.206377,0.671642,6.38937
onlyTrainLeafNodes,50,Hard,95,1,1.79236,0.671642,6.39034
onlyTrainLeafNodes,50,Hard,96,2,0.373771,0.672291,6.38996
onlyTrainLeafNodes,50,Hard,97,1,0.411795,0.672291,6.38996
onlyTrainLeafNodes,50,Hard,98,1,0.716625,0.672291,6.38996
onlyTrainLeafNodes,50,Hard,99,1,0.99935,0.672291,6.38996
onlyTrainLeafNodes,50,Hard,100,1,0.503304,0.672291,6.39189
singleAgent,50,Hard,0,0,0,0.957171,10.0285
singleAgent,50,Hard,1,1,1.59095,0.957171,9.92814
singleAgent,50,Hard,2,2,0.0121423,0.957171,9.93153
singleAgent,50,Hard,3,1,0.0101867,0.95782,9.93496
singleAgent,50,Hard,4,1,0.00278299,0.95782,9.93496
singleAgent,50,Hard,5,1,1.02314,0.95782,9.94919
singleAgent,50,Hard,6,1,0.033599,0.957171,9.94576
singleAgent,50,Hard,7,1,0.00580813,0.957171,9.94576
singleAgent,50,Hard,8,4,2.58913,0.955224,9.91372
singleAgent,50,Hard,9,1,1.00366,0.955224,9.91848
singleAgent,50,Hard,10,1,0.818289,0.955224,9.89334
singleAgent,50,Hard,11,1,0.968812,0.955224,9.88587
singleAgent,50,Hard,12,1,0.00854818,0.955224,9.88655
singleAgent,50,Hard,13,1,0.756123,0.955224,9.8981
singleAgent,50,Hard,14,1,2.47978,0.955224,9.91984
singleAgent,50,Hard,15,1,2.34276,0.983777,10.2658
singleAgent,50,Hard,16,2,0.00886681,0.983777,10.2665
singleAgent,50,Hard,17,1,0.0122558,0.983128,10.2667
singleAgent,50,Hard,18,1,0.00360386,0.983128,10.2667
singleAgent,50,Hard,19,1,0.0102096,0.983128,10.2667
singleAgent,50,Hard,20,1,0.0201179,0.983128,10.2673
singleAgent,50,Hard,21,1,0.00306157,0.983128,10.2713
singleAgent,50,Hard,22,1,0.00927832,0.983128,10.2719
singleAgent,50,Hard,23,1,0.921124,0.983128,10.2924
singleAgent,50,Hard,24,1,0.010552,0.983128,10.2937
singleAgent,50,Hard,25,1,0.00907943,0.983128,10.2924
singleAgent,50,Hard,26,1,0.00991532,0.983128,10.2924
singleAgent,50,Hard,27,1,1.16476,0.982479,10.2635
singleAgent,50,Hard,28,1,0.00381532,0.982479,10.2635
singleAgent,50,Hard,29,1,0.0201746,0.982479,10.3131
singleAgent,50,Hard,30,1,2.69444,0.993511,10.2332
singleAgent,50,Hard,31,1,0.0128439,0.993511,10.2397
singleAgent,50,Hard,32,1,0.534208,0.99416,10.1886
singleAgent,50,Hard,33,1,0.00270731,0.99416,10.1926
singleAgent,50,Hard,34,1,0.00311664,0.99416,10.1945
singleAgent,50,Hard,35,1,0.00654274,0.99416,10.1952
singleAgent,50,Hard,36,1,1.94432,0.99416,10.3114
singleAgent,50,Hard,37,2,2.45771,0.99416,10.2761
singleAgent,50,Hard,38,1,0.970839,0.99416,10.2774
singleAgent,50,Hard,39,2,0.0492054,0.99416,10.28
singleAgent,50,Hard,40,1,0.0170766,0.99416,10.2813
singleAgent,50,Hard,41,1,1.78072,0.994809,10.1546
singleAgent,50,Hard,42,1,0.0219098,0.99416,10.1475
singleAgent,50,Hard,43,1,0.022272,0.99416,10.1482
singleAgent,50,Hard,44,1,0.0383878,0.99416,10.1482
