Approach,Size,Difficulty,TimeStep,NumChanges,AdaptTime,SuccessRate,AvgPathLength
A* Oracle,20,Medium,42,1,0.0297069,0.996403,5.45848
A* Oracle,20,Medium,43,1,0.0298235,0.996403,5.45848
A* Oracle,20,Medium,44,1,0.0297262,0.996403,5.45126
A* Oracle,20,Medium,45,1,0.029865,0.996403,5.45487
A* Oracle,20,Medium,46,1,0.0296188,0.996403,5.45126
A* Oracle,20,Medium,47,4,0.0299352,1,5.46763
A* Oracle,20,Medium,48,1,0.0301146,1,5.46403
A* Oracle,20,Medium,49,1,0.0299668,1,5.46403
A* Oracle,20,Medium,50,1,0.0301487,1,5.46403
Local,20,Medium,0,0,0,1,5.85252
Local,20,Medium,1,1,0.202233,1,5.65468
Local,20,Medium,2,2,0.149367,1,5.63669
Local,20,Medium,3,1,0.129099,1,5.61871
Local,20,Medium,4,1,0.175413,1,5.61151
Local,20,Medium,5,1,0.127408,1,5.58633
Local,20,Medium,6,1,0.136167,1,5.57554
Local,20,Medium,7,1,0.121497,1,5.57554
Local,20,Medium,8,1,0.142041,1,5.58273
Local,20,Medium,9,1,0.0947905,1,5.57194
Local,20,Medium,10,1,0.0947773,1,5.57914
Local,20,Medium,11,1,0.0732272,1,5.57914
Local,20,Medium,12,6,0.173034,0.996403,5.6065
Local,20,Medium,13,1,0.10963,0.996403,5.59928
Local,20,Medium,14,2,0.122698,0.996403,5.6065
Local,20,Medium,15,1,0.105851,0.996403,5.6065
Local,20,Medium,16,1,0.103302,0.996403,5.61372
Local,20,Medium,17,1,0.103298,0.996403,5.61011
Local,20,Medium,18,1,0.121311,0.996403,5.61011
Local,20,Medium,19,1,0.12241,0.996403,5.59928
Local,20,Medium,20,1,0.113176,0.996403,5.59567
Local,20,Medium,21,1,0.0829247,0.996403,5.59567
Local,20,Medium,22,1,0.101038,0.996403,5.59567
Local,20,Medium,23,1,0.138127,0.996403,5.54874
Local,20,Medium,24,3,0.150291,0.996403,5.53069
Local,20,Medium,25,1,0.121831,0.996403,5.53791
Local,20,Medium,26,1,0.0982622,0.996403,5.54874
Local,20,Medium,27,1,0.1413,0.996403,5.54874
Local,20,Medium,28,1,0.134927,0.996403,5.54152
Local,20,Medium,29,1,0.149242,0.996403,5.53791
Local,20,Medium,30,1,0.149569,0.996403,5.54152
Local,20,Medium,31,1,0.123233,0.996403,5.5343
Local,20,Medium,32,1,0.122624,0.996403,5.53791
Local,20,Medium,33,1,0.130165,0.996403,5.48375
Local,20,Medium,34,1,0.14416,0.996403,5.4657
Local,20,Medium,35,1,0.152803,0.97482,5.43542
Local,20,Medium,36,1,0.130679,0.97482,5.43542
Local,20,Medium,37,1,0.135741,0.97482,5.42804
Local,20,Medium,38,1,0.106578,0.97482,5.42435
Local,20,Medium,39,2,0.131345,0.996403,5.45848
Local,20,Medium,40,1,0.138216,0.992806,5.44928
Local,20,Medium,41,1,0.0913803,0.992806,5.4529
Local,20,Medium,42,1,0.127604,0.996403,5.45126
Local,20,Medium,43,1,0.113869,0.996403,5.45126
Local,20,Medium,44,1,0.11185,0.996403,5.44765
Local,20,Medium,45,1,0.100064,0.996403,5.44765
Local,20,Medium,46,1,0.140213,0.996403,5.44404
Local,20,Medium,47,4,0.121092,1,5.46043
Local,20,Medium,48,1,0.140287,1,5.45683
Local,20,Medium,49,1,0.107445,1,5.45683
Local,20,Medium,50,1,0.0661541,1,5.45683
Hierarchy,20,Medium,0,0,0,1,5.73022
Hierarchy,20,Medium,1,1,0.190502,1,5.63669
Hierarchy,20,Medium,2,2,0.166096,1,5.63669
Hierarchy,20,Medium,3,1,0.121277,1,5.61871
Hierarchy,20,Medium,4,1,0.183502,1,5.58993
Hierarchy,20,Medium,5,1,0.118692,1,5.59353
Hierarchy,20,Medium,6,1,0.103096,1,5.57554
Hierarchy,20,Medium,7,1,0.0859082,1,5.57554
Hierarchy,20,Medium,8,1,0.113766,1,5.58273
Hierarchy,20,Medium,9,1,0.109325,1,5.57194
Hierarchy,20,Medium,10,1,0.0862694,1,5.57914
Hierarchy,20,Medium,11,1,0.121502,1,5.57914
Hierarchy,20,Medium,12,6,0.159835,0.996403,5.60289
Hierarchy,20,Medium,13,1,0.131921,0.996403,5.59928
Hierarchy,20,Medium,14,2,0.166804,0.996403,5.6065
Hierarchy,20,Medium,15,1,0.0921217,0.996403,5.6065
Hierarchy,20,Medium,16,1,0.103843,0.996403,5.61372
Hierarchy,20,Medium,17,1,0.100638,0.996403,5.61011
Hierarchy,20,Medium,18,1,0.126872,0.996403,5.60289
Hierarchy,20,Medium,19,1,0.158804,0.996403,5.59567
Hierarchy,20,Medium,20,1,0.142203,0.996403,5.59567
Hierarchy,20,Medium,21,1,0.10026,0.996403,5.59567
Hierarchy,20,Medium,22,1,0.108182,0.996403,5.59567
Hierarchy,20,Medium,23,1,0.140573,0.996403,5.54874
Hierarchy,20,Medium,24,3,0.108968,0.996403,5.53069
Hierarchy,20,Medium,25,1,0.0850343,0.996403,5.53791
Hierarchy,20,Medium,26,1,0.130381,0.996403,5.54874
Hierarchy,20,Medium,27,1,0.11438,0.996403,5.54513
Hierarchy,20,Medium,28,1,0.12758,0.996403,5.53791
Hierarchy,20,Medium,29,1,0.125976,0.996403,5.53791
Hierarchy,20,Medium,30,1,0.107279,0.996403,5.54152
Hierarchy,20,Medium,31,1,0.140101,0.996403,5.5343
Hierarchy,20,Medium,32,1,0.0855979,0.996403,5.53791
Hierarchy,20,Medium,33,1,0.134142,0.996403,5.48375
Hierarchy,20,Medium,34,1,0.127424,0.996403,5.4657
Hierarchy,20,Medium,35,1,0.124317,0.97482,5.43542
Hierarchy,20,Medium,36,1,0.132648,0.97482,5.43542
Hierarchy,20,Medium,37,1,0.166985,0.97482,5.42804
Hierarchy,20,Medium,38,1,0.115409,0.97482,5.42435
Hierarchy,20,Medium,39,2,0.115778,0.996403,5.46209
Hierarchy,20,Medium,40,1,0.124802,0.992806,5.44928
Hierarchy,20,Medium,41,1,0.111568,0.992806,5.4529
Hierarchy,20,Medium,42,1,0.139202,0.996403,5.45126
Hierarchy,20,Medium,43,1,0.0795048,0.996403,5.45126
Hierarchy,20,Medium,44,1,0.115095,0.996403,5.44765
Hierarchy,20,Medium,45,1,0.11072,0.996403,5.44765
Hierarchy,20,Medium,46,1,0.1289,0.996403,5.44404
Hierarchy,20,Medium,47,4,0.141675,1,5.46043
Hierarchy,20,Medium,48,1,0.12273,1,5.45683
Hierarchy,20,Medium,49,1,0.108324,1,5.45683
Hierarchy,20,Medium,50,1,0.121443,1,5.45683
A* Static,20,Hard,0,0,0,0.941176,6.85096
A* Static,20,Hard,1,1,0,0.927602,6.83902
A* Static,20,Hard,2,1,0,0.923077,6.83824
A* Static,20,Hard,3,1,0,0.923077,6.83824
A* Static,20,Hard,4,1,0,0.900452,6.81407
A* Static,20,Hard,5,1,0,0.891403,6.80711
A* Static,20,Hard,6,1,0,0.819005,6.8453
A* Static,20,Hard,7,2,0,0.782805,6.67052
A* Static,20,Hard,8,1,0,0.778281,6.63953
A* Static,20,Hard,9,1,0,0.737557,6.55828
A* Static,20,Hard,10,1,0,0.656109,6.38621
A* Static,20,Hard,11,1,0,0.656109,6.38621
A* Static,20,Hard,12,1,0,0.651584,6.40972
A* Static,20,Hard,13,1,0,0.651584,6.40972
A* Static,20,Hard,14,1,0,0.728507,6.5528
A* Static,20,Hard,15,1,0,0.683258,6.54305
A* Static,20,Hard,16,1,0,0.660633,6.5274
A* Static,20,Hard,17,1,0,0.642534,6.30282
A* Static,20,Hard,18,1,0,0.628959,6.22302
A* Static,20,Hard,19,1,0,0.624434,6.23188
A* Static,20,Hard,20,1,0,0.624434,6.23188
A* Static,20,Hard,21,1,0,0.615385,6.28676
A* Static,20,Hard,22,1,0,0.615385,6.28676
A* Static,20,Hard,23,1,0,0.606335,6.23134
A* Static,20,Hard,24,2,0,0.60181,6.20301
A* Static,20,Hard,25,1,0,0.497738,6.13636
A* Static,20,Hard,26,1,0,0.479638,6.26415
A* Static,20,Hard,27,1,0,0.479638,6.26415
A* Static,20,Hard,28,1,0,0.429864,5.82105
A* Static,20,Hard,29,1,0,0.384615,5.56471
A* Static,20,Hard,30,1,0,0.38009,5.58333
A* Static,20,Hard,31,1,0,0.38009,5.58333
A* Static,20,Hard,32,1,0,0.402715,5.85393
A* Static,20,Hard,33,1,0,0.38914,5.86047
A* Static,20,Hard,34,1,0,0.38914,5.86047
A* Static,20,Hard,35,1,0,0.38914,5.86047
A* Static,20,Hard,36,1,0,0.384615,5.87059
A* Static,20,Hard,37,1,0,0.384615,5.87059
