Approach,Size,Difficulty,Changes,InitialTime,AdaptTime,SuccessRate,AvgPathLength
Local,50,Easy,10,7.93427,2.53947,1,5.1518
Hierarchy,50,Easy,0,9.7579,0,0.999507,5.29832
Hierarchy,50,Easy,1,9.7579,0.298662,0.999507,5.29438
Hierarchy,50,Easy,2,9.7579,1.19228,0.999507,5.26134
Hierarchy,50,Easy,3,9.7579,0.995388,0.999507,5.24556
Hierarchy,50,Easy,4,9.7579,1.55542,0.999507,5.2574
Hierarchy,50,Easy,5,9.7579,2.90973,0.999507,5.22682
Hierarchy,50,Easy,10,9.7579,4.17947,0.999507,5.12032
A* Oracle,50,Medium,0,0.275523,0,0.997744,5.09045
A* Oracle,50,Medium,1,0.275523,0.27803,0.997744,5.09101
A* Oracle,50,Medium,2,0.275523,0.278001,0.997744,5.08988
A* Oracle,50,Medium,3,0.275523,0.277169,0.997744,5.0831
A* Oracle,50,Medium,4,0.275523,0.276468,0.997744,5.08253
A* Oracle,50,Medium,5,0.275523,0.285234,0.99718,5.09785
A* Oracle,50,Medium,10,0.275523,0.28113,0.998872,5.10898
A* Static,50,Medium,0,0.276633,0,0.997744,5.09045
A* Static,50,Medium,1,0.276633,0.00051505,0.99718,5.09106
A* Static,50,Medium,2,0.276633,0.000521305,0.992668,5.07216
A* Static,50,Medium,3,0.276633,0.000514572,0.995488,5.09462
A* Static,50,Medium,4,0.276633,0.000530358,0.994924,5.08673
A* Static,50,Medium,5,0.276633,0.000521514,0.978003,5.08247
A* Static,50,Medium,10,0.276633,0.000533312,0.970107,5.05465
Local,50,Medium,0,7.76419,0,0.98872,5.17399
Local,50,Medium,1,7.76419,0.122371,0.989848,5.17436
Local,50,Medium,2,7.76419,0.14434,0.989848,5.17208
Local,50,Medium,3,7.76419,1.25977,0.990412,5.13041
Local,50,Medium,4,7.76419,1.15849,0.990412,5.12301
Local,50,Medium,5,7.76419,1.03077,0.989848,5.1265
Local,50,Medium,10,7.76419,1.33213,0.99154,5.14448
Hierarchy,50,Medium,0,10.7234,0,0.988156,5.22089
Hierarchy,50,Medium,1,10.7234,0.257306,0.988156,5.21689
Hierarchy,50,Medium,2,10.7234,0.483687,0.988156,5.20605
Hierarchy,50,Medium,3,10.7234,2.38742,0.988156,5.15525
Hierarchy,50,Medium,4,10.7234,2.02526,0.99718,5.14084
Hierarchy,50,Medium,5,10.7234,2.50116,0.996616,5.15507
Hierarchy,50,Medium,10,10.7234,2.54543,0.998308,5.16158
A* Oracle,50,Hard,0,0.301416,0,0.998642,7.6601
A* Oracle,50,Hard,1,0.301416,0.291318,0.998642,7.6601
A* Oracle,50,Hard,2,0.301416,0.291143,0.998642,7.58804
A* Oracle,50,Hard,3,0.301416,0.308944,0.998642,7.66349
A* Oracle,50,Hard,4,0.301416,0.292988,0.998642,7.65806
A* Oracle,50,Hard,5,0.301416,0.29021,0.998642,7.6465
A* Oracle,50,Hard,10,0.301416,0.295617,0.998642,7.68253
A* Static,50,Hard,0,0.288927,0,0.998642,7.6601
A* Static,50,Hard,1,0.288927,0.000403777,0.997963,7.66327
A* Static,50,Hard,2,0.288927,0.000427386,0.900204,7.38311
A* Static,50,Hard,3,0.288927,0.00042938,0.989138,7.6383
A* Static,50,Hard,4,0.288927,0.000424351,0.990496,7.63331
A* Static,50,Hard,5,0.288927,0.000416865,0.979633,7.58073
A* Static,50,Hard,10,0.288927,0.00042652,0.89613,7.5197
Local,50,Hard,0,16.4168,0,0.970808,8.05804
Local,50,Hard,1,16.4168,0.251739,0.970808,8.04965
Local,50,Hard,2,16.4168,1.06226,0.978276,8.01874
