Approach,Size,Difficulty,Changes,InitialTime,AdaptTime,SuccessRate,AvgPathLength
A*,200,Hard,1,9.3801,9.38459,0.9971,7.06118
A*,200,Hard,5,9.3801,9.39694,0.9982,7.01312
A*,200,Hard,10,9.3801,9.40227,0.9966,7.09944
A*,200,Hard,20,9.3801,9.38858,0.9979,7.00361
A*,200,Hard,50,9.3801,9.38263,0.9974,7.04522
Local,200,Hard,0,266.247,0,0.9845,7.21676
Local,200,Hard,1,266.247,0.530501,0.9847,7.16513
Local,200,Hard,5,266.247,3.66824,0.9848,7.18268
Local,200,Hard,10,266.247,7.21911,0.9855,7.12714
Local,200,Hard,20,266.247,12.3312,0.9853,7.20095
Local,200,Hard,50,266.247,30.0997,0.9856,7.1942
Hierarchy,200,Hard,0,354.909,0,0.9883,7.23444
Hierarchy,200,Hard,1,354.909,1.41345,0.988,7.17733
Hierarchy,200,Hard,5,354.909,7.93094,0.9879,7.18625
Hierarchy,200,Hard,10,354.909,18.079,0.9875,7.16678
Hierarchy,200,Hard,20,354.909,27.4634,0.9847,7.15619
Hierarchy,200,Hard,50,354.909,64.4732,0.9871,7.12106
A*,300,Easy,0,24.3032,0,1,4.4787
A*,300,Easy,1,24.3032,24.2041,1,4.474
A*,300,Easy,5,24.3032,24.2622,1,4.5293
A*,300,Easy,10,24.3032,24.2326,1,4.5117
A*,300,Easy,20,24.3032,24.2959,1,4.4937
A*,300,Easy,50,24.3032,24.3398,1,4.5307
Local,300,Easy,0,273.361,0,0.9992,4.76631
Local,300,Easy,1,273.361,0.898346,0.999,4.71481
Local,300,Easy,5,273.361,2.82359,0.9991,4.72395
Local,300,Easy,10,273.361,6.65819,0.9992,4.72428
Local,300,Easy,20,273.361,14.1872,0.9991,4.71054
Local,300,Easy,50,273.361,34.0906,0.9993,4.68238
Hierarchy,300,Easy,0,344.461,0,0.9984,4.65915
Hierarchy,300,Easy,1,344.461,2.00829,0.9981,4.6847
Hierarchy,300,Easy,5,344.461,6.80136,0.9984,4.67889
Hierarchy,300,Easy,10,344.461,14.8863,0.9991,4.63607
Hierarchy,300,Easy,20,344.461,34.1016,0.9981,4.67388
Hierarchy,300,Easy,50,344.461,68.3746,0.9983,4.62406
A*,300,Medium,0,16.9238,0,0.9998,4.66153
A*,300,Medium,1,16.9238,16.8943,0.9997,4.6595
A*,300,Medium,5,16.9238,16.916,0.9999,4.68847
A*,300,Medium,10,16.9238,16.9686,0.9998,4.70994
A*,300,Medium,20,16.9238,16.8952,0.9997,4.69461
A*,300,Medium,50,16.9238,16.9252,0.9997,4.72742
Local,300,Medium,0,276.927,0,0.9977,4.8689
Local,300,Medium,1,276.927,1.63772,0.9983,4.8817
Local,300,Medium,5,276.927,4.8739,0.9967,4.95515
Local,300,Medium,10,276.927,8.5254,0.9977,4.95139
Local,300,Medium,20,276.927,16.2857,0.9975,4.84632
Local,300,Medium,50,276.927,33.2347,0.9977,4.86559
Hierarchy,300,Medium,0,348.152,0,0.9985,4.84507
Hierarchy,300,Medium,1,348.152,3.22959,0.9977,4.84865
